ID,Code,Description,ColorHex
1,Af,"Tropical, rainforest",#0000FF
2,Am,"Tropical, monsoon",#0078FF
3,Aw,"Tropical, savannah",#46AAFA
4,BWh,"Arid, desert, hot",#FF0000
5,BWk,"Arid, desert, cold",#FF9696
6,BSh,"Arid, steppe, hot",#F5A500
7,BSk,"Arid, steppe, cold",#FFDC64
8,Csa,"Temperate, dry summer, hot summer",#FFFF00
9,Csb,"Temperate, dry summer, warm summer",#C8C800
10,Csc,"Temperate, dry summer, cold summer",#969600
11,Cwa,"Temperate, dry winter, hot summer",#96FF96
12,Cwb,"Temperate, dry winter, warm summer",#64C864
13,Cwc,"Temperate, dry winter, cold summer",#329632
14,Cfa,"Temperate, no dry season, hot summer",#C8FF50
15,Cfb,"Temperate, no dry season, warm summer",#64FF50
16,Cfc,"Temperate, no dry season, cold summer",#32C800
17,Dsa,"Cold, dry summer, hot summer",#FF00FF
18,Dsb,"Cold, dry summer, warm summer",#C800C8
19,Dsc,"Cold, dry summer, cold summer",#963296
20,Dsd,"Cold, dry summer, very cold winter",#966496
21,Dwa,"Cold, dry winter, hot summer",#AAAFFF
22,Dwb,"Cold, dry winter, warm summer",#5A78DC
23,Dwc,"Cold, dry winter, cold summer",#4B50B4
24,Dwd,"Cold, dry winter, very cold winter",#320087
25,Dfa,"Cold, no dry season, hot summer",#00FFFF
26,Dfb,"Cold, no dry season, warm summer",#37C8FF
27,Dfc,"Cold, no dry season, cold summer",#007D7D
28,Dfd,"Cold, no dry season, very cold winter",#00465F
29,ET,"Polar, tundra",#B2B2B2
30,EF,"Polar, frost",#666666
